cell_id,meeting_id,asr,osd,resolver,separation,language,asr_device,cer_concat,cer_low,cer_high,wer_concat,ref_chars,hyp_chars,subs,ins,del,spk_best_mapping_acc,spk_known_coverage,spk_unknown_coverage,spk_ref_n,spk_hyp_n,routing_accuracy,routing_f1,routing_support,overlap_recall,overlap_precision,overlap_f1,gt_overlap_s,hyp_overlap_s,events_count,llm_resolved_rate,fallback_resolved_rate,evidence_support,wall_time_s,rtf,audio_duration_s,exit_code
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=none,R8001_M8004_MS801,faster-whisper,energy_fallback,none,none,zh,cuda,0.6177321511899206,0.6363975734951003,0.8867008866075595,,10715,7475,2847,266,3506,0.6374269005847953,0.8918,0.0007,5,6,0.5497076023391813,0.6071428571428571,342,0.3811390629793588,0.7314118225896693,0.5011359396316896,456.3400000000008,237.79900000000018,342,0.0,0.3684210526315789,342,163.11841559410095,0.10393097340922705,1569.488,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=none,R8003_M8001_MS801,faster-whisper,energy_fallback,none,none,zh,cuda,0.39538989700833743,0.40127513487003436,0.8351152525747916,,10195,9160,1698,649,1684,0.7070217917675545,0.981,0.0,5,6,0.5375302663438256,0.5397590361445783,413,0.4394332833583195,0.6279931780394538,0.517058765418158,333.49999999999756,233.36399999999904,413,0.0,0.3414043583535109,413,187.5274863243103,0.09068060267132994,2068.0,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=none,R8007_M8010_MS803,faster-whisper,energy_fallback,none,none,zh,cuda,0.6970810369463156,0.7726746955160917,0.8407157923385725,,14697,9665,4805,204,5236,0.5039370078740157,0.9578,0.0,5,4,0.5406824146981627,0.6880570409982175,381,0.6199266293444424,0.8087255850125129,0.7018510466622981,1046.74,802.3760000000019,381,0.0,0.5170603674540682,381,236.80300664901733,0.12770562428760654,1854.288,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=none,R8007_M8011_MS806,faster-whisper,energy_fallback,none,none,zh,cuda,0.4728063170969745,0.4609173986336616,0.8244166444858486,,11271,10137,2255,970,2104,0.6542857142857142,0.9644,0.0122,5,6,0.5228571428571429,0.6263982102908277,350,0.4997854464971318,0.6500054339684707,0.5650823320323121,442.77999999999986,340.45100000000025,350,0.0,0.42,350,201.8215103149414,0.10856257083783373,1859.034,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=none,R8008_M8013_MS807,faster-whisper,energy_fallback,none,none,zh,cuda,0.609750642960975,0.5883931566588393,0.9313429497931343,,8943,7312,2980,421,2052,0.5929368029739777,0.8307,0.0,4,3,0.5539033457249071,0.39999999999999997,538,0.2388175719262013,0.47799282136031906,0.31850287346432793,310.0399999999972,154.9039999999998,538,0.0,0.20817843866171004,538,177.58717107772827,0.07943993087767258,2235.49,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=none,R8009_M8018_MS809,faster-whisper,energy_fallback,none,none,zh,cuda,0.44797895240373115,0.3613967950251136,0.8170294187993303,,8362,8913,1585,1356,805,0.8112676056338028,0.962,0.0,3,3,0.5408450704225352,0.46204620462046203,355,0.31939810834050836,0.27284546396069814,0.29429217684785264,116.30000000000035,136.14299999999966,355,0.0,0.37183098591549296,355,172.07859420776367,0.10415673647292899,1652.112,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=none,R8009_M8019_MS810,faster-whisper,energy_fallback,none,none,zh,cuda,0.3631044776119403,0.3392238805970149,0.9568955223880597,,8375,7393,1313,373,1355,0.8926701570680629,0.9872,0.0024,2,4,0.7696335078534031,0.24137931034482757,382,0.0828547026796206,0.6588564879663796,0.14719842199346705,187.33999999999978,23.559000000000253,382,0.0,0.04712041884816754,382,127.29091167449951,0.06477566158050643,1965.104,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=none,R8009_M8020_MS810,faster-whisper,energy_fallback,none,none,zh,cuda,0.20825515947467166,0.20133677298311445,0.976782363977486,,8528,7738,688,149,939,0.8597285067873304,0.9969,0.0023,2,4,0.5520361990950227,0.13913043478260873,221,0.055363128491616974,0.6256313131313002,0.10172449189077672,125.29999999999961,11.087999999999568,221,0.0,0.04524886877828054,221,113.34983348846436,0.05940617504825055,1908.048,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=sepformer,R8001_M8004_MS801,faster-whisper,energy_fallback,none,sepformer,zh,cuda,0.6196920205319645,0.6363975734951003,0.887167522165189,,10715,7567,2888,302,3450,0.6461988304093568,0.8918,0.0007,5,6,0.5497076023391813,0.6071428571428571,342,0.3811390629793588,0.7314118225896693,0.5011359396316896,456.3400000000008,237.79900000000018,342,0.0,0.3684210526315789,342,162.8626251220703,0.1037679963924989,1569.488,0
asr=faster-whisper_osd=energy_fallback_resolver=none_sep=sepformer,R8003_M8001_MS801,faster-whisper,energy_fallback,none,sepformer,zh,cuda,0.3950956351152526,0.40127513487003436,0.8340362923001471,,10195,9169,1702,650,1676,0.7046004842615012,0.981,0.0,5,6,0.5375302663438256,0.5397590361445783,413,0.4394332833583195,0.6279931780394538,0.517058765418158,333.49999999999756,233.36399999999904,413,0.0,0.3414043583535109,413,188.6247980594635,0.0912112176303015,2068.0,0
